"","Solar_Flow","Nuclear_Flow","Hydro_Flow","Wind_Flow","Geothermal_Flow","NaturalGas_Flow","Coal_Flow","Biomass_Flow","Petroleum_Flow","Solar_Electricity","Nuclear_Electricity","Hydro_Electricity","Wind_Electricity","Geothermal_Electricity","NaturalGas_Electricity","Coal_Electricity","Biomass_Electricity","Petroleum_Electricity","Import_Net_Electricity","Electricity_Flow","Services_Resident_SpaceHeating_NG","Services_Resident_SpaceHeating_Elec","Services_Resident_WaterHeating_NG","Services_Resident_WaterHeating_Elec","Services_Resident_Cooking_NG","Services_Resident_Cooking_Elec","Services_Resident_Other","Services_Commerce_SpaceHeating_NG","Services_Commerce_SpaceHeating_Elec","Services_Commerce_WaterHeating_NG","Services_Commerce_WaterHeating_Elec","Services_Commerce_Cooking_NG","Services_Commerce_Cooking_Elec","Services_Commerce_Other","Services_Industrial","Services_Transport_LDV_Petrol","Services_Transport_LDV_Elec","Services_Transport_LDV_Ethanol","Services_Transport_Other_Petrol","Services_Transport_Other_NG","Services_Transport_Other_Other"
"Solar",2384688184357230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuclear",0,207220272427595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydro",0,0,226633978607188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wind",0,0,0,650914614212508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geothermal",0,0,0,0,244862630290668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural_Gas",0,0,0,0,0,2982714118828025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coal",0,0,0,0,0,0,31074593750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biomass",0,0,0,0,0,0,0,162678884956134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum",0,0,0,0,0,0,0,0,3174144732481979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Import_Net",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7265e+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solar_Plant",0,0,0,0,0,0,0,0,0,997756290400128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuclear_Plant",0,0,0,0,0,0,0,0,0,0,67590103034975.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydro_Plant",0,0,0,0,0,0,0,0,0,0,0,98713210200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wind_Plant",0,0,0,0,0,0,0,0,0,0,0,0,283613219709377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geothermal_Plant",0,0,0,0,0,0,0,0,0,0,0,0,0,105771307447814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natural_Gas_Plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,496532347763592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coal_Plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607934382078.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biomass_Plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10336344792871.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum_Plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16244781315750.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity_Grid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124430539046588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_SpaceHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_SpaceHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_WaterHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_WaterHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_Cooking_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_Cooking_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resident_Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_SpaceHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_SpaceHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_WaterHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_WaterHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_Cooking_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce_Cooking_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
