"","Solar","Nuclear","Hydro","Wind","Geothermal","Natural_Gas","Coal","Biomass","Petroleum","Import_Net","Solar_Plant","Nuclear_Plant","Hydro_Plant","Wind_Plant","Geothermal_Plant","Natural_Gas_Plant","Coal_Plant","Biomass_Plant","Petroleum_Plant","Electricity_Grid","Resident_SpaceHeating_NG","Resident_SpaceHeating_Elec","Resident_WaterHeating_NG","Resident_WaterHeating_Elec","Resident_Cooking_NG","Resident_Cooking_Elec","Resident_Other","Commerce_SpaceHeating_NG","Commerce_SpaceHeating_Elec","Commerce_WaterHeating_NG","Commerce_WaterHeating_Elec","Commerce_Cooking_NG","Commerce_Cooking_Elec","Commerce_Other","Industrial","Transport_LDV_Petrol","Transport_LDV_Elec","Transport_LDV_Ethanol","Transport_Other_Petrol","Transport_Other_NG","Transport_Other_Other"
"Solar_Flow",0,0,0,0,0,0,0,0,0,0,5112393409216.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81e+12,0,0,0,0,0,0,7.74e+11,1.23e+11,0,0,0,0,0,0
"Nuclear_Flow",0,0,0,0,0,0,0,0,0,0,0,105493156681410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydro_Flow",0,0,0,0,0,0,0,0,0,0,0,0,883968771392812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wind_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,732848448510593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geothermal_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3891891891891.89,0,0,0,0,0,0,0,0,0,0,0,7.48e+11,0,0,0,0,0,0,1.454e+12,1.66e+11,0,0,0,0,0,0
"NaturalGas_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298485942908853,0,0,0,0,66317030566259.1,0,42926430156614.5,0,4141175954328.72,0,0,48863008846315.2,0,38451065792226.7,0,25355624345838.4,0,0,197388593628594,0,0,0,0,4.61874e+13,0
"Coal_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39691806315098.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822218750000,0,0,0,0,0,0
"Biomass_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108594608265.01,0,0,0,0,0,0,0,0,4.6424e+13,0,0,0,0,0,0,8.163e+12,100112882882883,0,0,30405586956521.7,0,0,0
"Petroleum_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25483897202342.2,0,0,0,0,0,0,0,1.245375e+13,0,0,0,0,0,0,2.9696832e+13,162874361673414,411882947478261,0,0,419440204695652,0,0
"Solar_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243709599871.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuclear_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34409896965024.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydro_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385213545300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wind_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319353780290623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geothermal_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698692552186.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NaturalGas_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134467652236407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coal_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12392065617921.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biomass_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8017461614365.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroleum_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4755218684249.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Import_Net_Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43e+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity_Flow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20095814397543.1,0,18816182099022.4,0,1819524190684.61,0,0,4196593299030.68,0,1073554239991.22,0,5058680612045.29,0,186195911111111,0,1.03e+11,0,0,0,0
"Services_Resident_SpaceHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_SpaceHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_WaterHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_WaterHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_Cooking_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_Cooking_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Resident_Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_SpaceHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_SpaceHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_WaterHeating_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_WaterHeating_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_Cooking_NG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_Cooking_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Commerce_Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Transport_LDV_Petrol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Transport_LDV_Elec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Transport_LDV_Ethanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services_Transport_Other_Petrol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
